UNITE;NOM JOURNAL OU CONF;NOM ARTICLE;AUTEURS;ADRESSE;
 ;ANNALES DE BIOLOGIE CLINIQUE;DEVELOPMENT OF MOLECULAR ANALYZES BY DIGITAL PCR FOR CLINICAL PRACTICE: POSITIONING, CURRENT APPLICATIONS AND PERSPECTIVES;BUSSER, BENOIT;" CNRS, INSERM, U1209, INST ADV BIOSCI,UGA,UMR5309, GRENOBLE, FRANCE.; ";
 ;PROTEOMICS;MALDI-MS PROFILING TO ADDRESS HONEY BEE HEALTH STATUS UNDER BACTERIAL CHALLENGE THROUGH COMPUTATIONAL MODELING;"MASSON, VICTOR; BULET, PHILIPPE";" CR UGA, INST ADV BIOSCI, TEAM ANALYT IMMUNOL CHRON DIS, INSERM U1209,CNRS UMR5309, SITE SANTE,ALLEE ALPES, F-38000 GRENOBLE, FRANCE.; ";
 ;FUNDAMENTAL & CLINICAL PHARMACOLOGY;A SUCCESSFUL ANTIBIOTIC TREATMENT BY A NEW ADMINISTRATION ROUTE: A CASE REPORT OF A SUBCUTANEOUS ADMINISTRATION OF CEFTAZIDIME AND TOBRAMYCIN;CHANOINE, SEBASTIEN;" INST ADV BIOSCI, CNRS UMR 5309, INSERM 1209, CR UGA, F-38000 GRENOBLE, FRANCE.; ";
 ;BRITISH JOURNAL OF SURGERY;INTERACTIONS BETWEEN PLATELETS AND LIVER SINUSOIDAL ENDOTHELIAL CELLS PROMOTE HEPATIC STELLATE CELLS TO DRIVE LIVER REGENERATION;"SADOUL, K.;";" UNIV GRENOBLES ALPES, INST ADV BIOSCI, GRENOBLE, FRANCE.;";
 ;CANCER RESEARCH;ANIMAL MODEL OF CIRRHOSIS WITH HEPATOCELLULAR CARCINOMA: A RELIABLE TOOL FOR TESTING NEW THERAPIES;"KURMA, KEERTHI; JILKOVA, ZUZANA MACEK; MARCHE, PATRICE N.;; LERAT, HERVE";" INST ADV BIOSCI, LA TRONCHE, FRANCE.; ";
 ;HAEMATOLOGICA;ADULT PATIENTS WITH DE NOVO ACUTE MYELOID LEUKEMIA SHOW A FUNCTIONAL DEREGULATION OF REDOX BALANCE AT DIAGNOSIS WHICH IS CORRELATED WITH MOLECULAR SUBTYPES AND OVERALL SURVIVAL;"MONDET, JULIE; LO PRESTI, CAROLINE; PARK, SOPHIE; MC LEER-FLORIN, ANNE; CAHN, JEAN-YVES; MOSSUZ, PASCAL";" UGA, INSERM, INST ADV BIOSCI, U1209,CNRS 5309, GRENOBLE, FRANCE.; ";
 ;VIRCHOWS ARCHIV;EVALUATION OF CYCLON AS A PREDICTIVE BIOMARKER OF ANTI CD20 RESPONSE IN DIFFUSE LARGE B-CELL LYMPHOMA;"BONNEFOIX, T.;; EMADALI, A.;";" INST ADV BIOSCI, LA TRONCHE, FRANCE.; ";
 ;ENVIRONMENTAL AND MOLECULAR MUTAGENESIS;MUTATIONAL IMPRINTS OF COBALT EXPOSURE: A GENOME-SCALE MULTI-SYSTEM APPROACH.;"SANCEY, L.;; BUSSER, B.;";" INST ADV BIOSCI, GRENOBLE, FRANCE.; ";
 ;EUROPEAN RESPIRATORY JOURNAL;ASSOCIATION BETWEEN OCCUPATIONAL EXPOSURE TO IRRITANTS AND ADULT ASTHMA PROFILES IDENTIFIED BY CLUSTERING;SIROUX, VALERIE;" INST ADV BIOSCI, CTR RECH, UGA, INSERM,U1209,CNRS,UMR 5309,EQUIPE EPIDEMIOL ENVIR, SITE SANTE,ALLEE ALPES, LA TRONCHE, FRANCE.; ";
 ;HEPATOLOGY;MAMMALIAN TARGET OF RAPAMYCIN INHIBITORS, NEW DRUGS FOR BETA-CATENIN-MUTATED HEPATOCELLULAR CARCINOMAS?;DECAENS, THOMAS;" CNRS 5309, INSERM, U 1209, INST ADV BIOSCI,RES CTR UGA, GRENOBLE, FRANCE.;";
CERAG;;;;;
 ;TRENDS AND APPLICATIONS IN SOFTWARE ENGINEERING (CIMPS 2018);IDENTIFYING THE ORIENTATIONS OF SUSTAINABLE SUPPLY CHAIN RESEARCH USING DATA MINING TECHNIQUES: CONTRIBUTIONS AND NEW DEVELOPMENTS;LOZA-AGUIRRE, EDISON;" UGA, CNRS, CERAG, FRE 3748, 150 RUE CHIM,BP 47, F-38040 GRENOBLE 9, FRANCE.;";
 ;PROCEEDINGS OF THE FUTURE TECHNOLOGIES CONFERENCE (FTC) 2018, VOL 1;IMPROVING THE USE OF VIRTUAL WORLDS IN EDUCATION THROUGH LEARNING ANALYTICS: A STATE OF ART;LOZA-AGUIRRE, EDISON;" UGA, CERAG FRE 3748, CNRS, 150 RUE CHIM,BP 47, F-38040 GRENOBLE 9, FRANCE.; ";
 ;APPETITE;JUST THINKING ABOUT EXERCISE MAKES ME SERVE MORE FOOD. PHYSICAL ACTIVITY AND CALORIE COMPENSATION (VOL 56, PG 332, 2011);"WERLE, C.; O.; C.;";" CERAG, GRENOBLE ECOLE MANAGEMENT, 12 RUE PIERRE SEMARD,BP 127, F-38003 GRENOBLE 01, FRANCE.; ";
CERMAV;;;;;
 ;JOURNAL OF COLLOID AND INTERFACE SCIENCE;SEALING HYALURONIC ACID MICROGELS WITH OPPOSITELY-CHARGED POLYPEPTIDES: A SIMPLE STRATEGY FOR PACKAGING HYDROPHILIC DRUGS WITH ON-DEMAND RELEASE;AUZELY, RACHEL;" UNIV JOSEPH FOURIER, CNRS, CTR RECH MACROMOL VEGETALES CERMAV, 601 RUE CHIM, F-38041 GRENOBLE, FRANCE.;";
 ;INTERFACE FOCUS;STRUCTURAL COLOURS IN THE FROND OF MICROSORUM THAILANDICUM;OGAWA, YU;" UNIV GRENOBLE ALPS, CNRS, CERMAV, F-38000 GRENOBLE, FRANCE.; ";
 ;CARBOHYDRATE POLYMERS;HYDROGEN-BONDING NETWORK IN ANHYDROUS CHITOSAN FROM NEUTRON CRYSTALLOGRAPHY AND PERIODIC DENSITY FUNCTIONAL THEORY CALCULATIONS;"OGAWA, YU; NISHIYAMA, YOSHIHARU";" UNIV GRENOBLE ALPS, CNRS, CERMAV, F-38000 GRENOBLE, FRANCE.; ";
 ;POLYMER;IN-SITU SAXS/WAXS INVESTIGATIONS OF THE MECHANICALLY-INDUCED PHASE TRANSITIONS IN SEMI-CRYSTALLINE POLYAMIDES;ROCHAS, CYRILLE;" CERMAV, UPR CNRS 5301, GRENOBLE, FRANCE.;";
 ;BIOMACROMOLECULES;CONTROLLING THE SELF-ASSEMBLY BEHAVIOR OF AQUEOUS CHITIN NANOCRYSTAL SUSPENSIONS;OGAWA, YU;" UNIV GRENOBLE ALPS, CNRS, CERMAV, F-38000 GRENOBLE, FRANCE.;";
 ;FEMS MICROBIOLOGY ECOLOGY;VIRAL DEGRADATION OF MARINE BACTERIAL EXOPOLYSACCHARIDES;"BOISSET, C.;";" CNRS, CERMAV, SERV COMMUN CHROMATOG, 601 RUE CHIM, F-38041 GRENOBLE, FRANCE.;";
 ;ELECTROCHIMICA ACTA;ELECTROCHEMICAL INVESTIGATIONS OF NB2O5/CARBON MATERIALS FROM FILTER PAPER, MICROFIBRILLATED AND BACTERIAL CELLULOSES BY SUSTAINABLE REDUCTIVE MINERALIZATION;HEUX, LAURENT;" CNRS, CERMAV, 601 RUE CHIM, F-38041 GRENOBLE 9, FRANCE.; ";
 ;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;TAILORING THE STRUCTURE OF PHENYLBORONIC ACIDS GRAFTED ON HYALURONIC ACID TO ACHIEVE SELF-CROSSLINKING AND STIMULI RESPONSIVE BEHAVIOR;"AUZELY-VELTY, RACHEL; FIGUEIREDO, TAMIRIS; OGAWA, Y.; U.;; COSENZA, VANINA";" CNRS, CERMAV, GRENOBLE, FRANCE.; ";
 ;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;SYNTHESIS OF THERMOSENSITIVE COPOLYMERS FOR THE MODIFICATION OF POLYSACCHARIDES;"BARRIOS, CHARLES; AUZELY-VELTY, RACHEL";" CNRS, CERMAV, GRENOBLE, FRANCE.;";
 ;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;MAGNETIC AND ELECTRIC FIELD ALIGNMENT OF CELLULOSE NANOCRYSTAL SUSPENSIONS;"FOUQUES, AXEL; HEUX, LAURENT";" CNRS, CERMAV, GRENOBLE 09, FRANCE.; ";
 ;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;SOLID STATE NMR AND CRYSTALLINITY OF CELLULOSE;HEUX, LAURENT;" CNRS, CERMAV, GRENOBLE 09, FRANCE.;";
 ;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;GOLD NANOPARTICLES AND THERMORESPONSIVE POLYMER END-GRAFTED CELLULOSE NANOCRYSTALS;"PUTAUX, JEAN-LUC; JEAN, BRUNO";" CNRS, CERMAV, GRENOBLE 9, FRANCE.;";
 ;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;IMPACT OF XYLAN ACETYLATION ON INTERACTION WITH CELLULOSE;MAZEAU, KARIM;" CNRS, CERMAV, GRENOBLE 9, FRANCE.;";
 ;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;LIQUID CRYSTALLINE PROPERTIES OF CHITIN NANOCRYSTALS WATER SUSPENSIONS;OGAWA, YU;" CERMAV, CNRS, GRENOBLE, FRANCE.;";
 ;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;OCCURRENCE OF TWO- AND THREE-FOLD CHAIN CONFORMATIONS IN HOMOXYLAN;OGAWA, YU;" CNRS, CERMAV, GRENOBLE, FRANCE.; ";
 ;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;OCCURRENCE OF TWO- AND THREE-FOLD CHAIN CONFORMATIONS IN HOMOXYLAN;NISHIYAMA, YOSHIHARU;" CERMAV, GRENOBLE, FRANCE.;";
 ;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;LATERAL ARRANGEMENT OF CELLULOSE MICROFIBRILS IN WOOD SECONDARY CELL WALL;"OGAWA, YU; KURIBAYASHI, TOMOKO";" CERMAV, CNRS, GRENOBLE, FRANCE.; ";
 ;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;LATERAL ARRANGEMENT OF CELLULOSE MICROFIBRILS IN WOOD SECONDARY CELL WALL;NISHIYAMA, YOSHIHARU;" CERMAV, GRENOBLE, FRANCE.;";
 ;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;EFFECTS OF DEGREE OF POLYMERIZATION, SURFACE CHEMISTRY, AND SURFACE CHARGE DENSITY ON CELLULOSE NANOCRYSTAL THERMAL STABILITY;HEUX, LAURENT;" CNRS, CERMAV, GRENOBLE 09, FRANCE.; ";
 ;MACROMOLECULAR SYMPOSIA;SPECIAL ISSUE: POLYMER-SOLVENT COMPLEXES AND INTERCALATES POLYSOLVAT-12 PREFACE;PUTAUX, JEAN-LUC;" CTR RECH MACROMOL VEGETALES CERMAV, GRENOBLE, FRANCE.; ";
 ;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;GLYCOSAMINOGLYCAN HYDROGELS AND NANOGELS HAVING SMART BIOMIMETIC FUNCTIONS FOR BIOMEDICAL APPLICATIONS;AUZELY-VELTY, RACHEL;" CNRS, CERMAV, GRENOBLE, FRANCE.;";
CHU;;;;;
 ;ANNALES D ENDOCRINOLOGIE;BILATERAL ADRENALECTOMY IN CUSHING'S DISEASE: ALTERED LONG-TERM QUALITY OF LIFE COMPARED TO OTHER TREATMENT OPTIONS;GAY, EMMANUEL;" CTR HOSP UNIV, GRENOBLE INST NEUROSCI, SERV NEUROCHIRURG, CTR RECH,INSERM U836,UJF,CEA, EQUIPE 7,BATIMENT EDMOND J SAFRA, F-38700 LA TRONCHE, FRANCE.; ";
 ;BMC INFECTIOUS DISEASES;SAFETY AND EFFICACY OF THE COMBINATION SIMEPREVIR-SOFOSBUVIR IN HCV GENOTYPE 1-AND 4-MONO-INFECTED PATIENTS FROM THE FRENCH ANRS CO22 HEPATHER COHORT;ZARSKI, JEAN-PIERRE;" CTR HOSP UNIV, INSERM, DEPT HEPATOL & GASTROENTEROL, INSERM,U823, GRENOBLE, FRANCE.; ";
 ;ANNALES DE BIOLOGIE CLINIQUE;IN SILICO STUDY OF A FUNCTIONAL MUTATION ASSOCIATED WITH NON-SMALL CELL LUNG CANCER: G12D MUTATION OF EXON 2 IN KRAS GENE;DE FRAIPONT, FLORENCE;" CHU GRENOBLE ALPES CHUGA, CTR HOSP UNIV, UNITE MED GENET MOL MALAD HEREDITAIRES & ONCOL, LA TRONCHE, FRANCE.;";
 ;JOURNAL OF THORACIC ONCOLOGY;A BRIEF REPORT OF TRANSFORMATION FROM NSCLC TO SCLC: MOLECULAR AND THERAPEUTIC CHARACTERISTICS;"FERRER, LEONIE; LEVRA, MATTEO GIAJ; MORO-SIBILOT, DENIS";" CHU GRENOBLE, PTV, THORAC ONCOL UNIT, CS10217, F-38043 GRENOBLE 9, FRANCE.; ";
 ;LIVER INTERNATIONAL;PROGNOSTIC FACTORS OF SURVIVAL IN HIV/HCV CO-INFECTED PATIENTS WITH HEPATOCELLULAR CARCINOMA: THE CARCINOVIC COHORT;"ZARSKI, JEAN--PIERRE; LEROY, VINCENT; BAIDI, ZINEB";" CHU HOP NORD A MICHALLON, SERV HEPATOGASTROENTEROL, GRENOBLE, FRANCE.; ";
 ;LIVER INTERNATIONAL;PROGNOSTIC FACTORS OF SURVIVAL IN HIV/HCV CO-INFECTED PATIENTS WITH HEPATOCELLULAR CARCINOMA: THE CARCINOVIC COHORT;"ZARSKI, J.; P.;";" CHU MICHALLON, GRENOBLE, FRANCE.; ";
 ;ARCHIVES OF DISEASE IN CHILDHOOD-FETAL AND NEONATAL EDITION;TWO-YEAR NEURODEVELOPMENTAL OUTCOMES OF EXTREMELY PRETERM INFANTS TREATED WITH EARLY HYDROCORTISONE: TREATMENT EFFECT ACCORDING TO GESTATIONAL AGE AT BIRTH;"ANDRINI, PIERRE; DEBILLON, THIERRY";" CHU GRENOBLE, NEONATAL INTENS CARE UNIT, GRENOBLE, FRANCE.; ";
 ;EPILEPSIA;QUANTITATIVE ANALYSIS AND EEG MARKERS OF KCNT1 EPILEPSY OF INFANCY WITH MIGRATING FOCAL SEIZURES;DUBOIS, FANNY;" CHU GRENOBLE ALPES, DEPT PEDIAT NEUROL, GRENOBLE, FRANCE.; ";
 ;EUROPEAN JOURNAL OF CANCER;LONG-TERM SURVIVAL IN PATIENTS WITH ADVANCED NON-SMALL-CELL LUNG CANCER TREATED WITH ATEZOLIZUMAB VERSUS DOCETAXEL: RESULTS FROM THE RANDOMISED PHASE III OAK STUDY;"MORO-SIBILOT, D.;";" CHU GRENOBLE ALPES, GRENOBLE, FRANCE.; ";
 ;BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION;COMPARATIVE ANALYSIS OF CALCINEURIN INHIBITOR-BASED METHOTREXATE AND MYCOPHENOLATE MOFETIL-CONTAINING REGIMENS FOR PREVENTION OF GRAFT-VERSUS-HOST DISEASE AFTER REDUCED-INTENSITY CONDITIONING ALLOGENEIC TRANSPLANTATION;CAHN, JEAN-YVES;" CHU GRENOBLE ALPES, DEPT HEMATOL, GRENOBLE, FRANCE.; ";
 ;AUTOIMMUNITY REVIEWS;ARTHRITIS IN PRIMARY SJOGREN'S SYNDROME: CHARACTERISTICS, OUTCOME AND TREATMENT FROM FRENCH MULTICENTER RETROSPECTIVE STUDY;DEROUX, ALBAN;" CHU GRENOBLE, SERV MED INTERNE, LA TRONCHE, FRANCE.; ";
 ;JAMA ONCOLOGY;ASSOCIATION OF GLEASON GRADE WITH ANDROGEN DEPRIVATION THERAPY DURATION AND SURVIVAL OUTCOMES A SYSTEMATIC REVIEW AND PATIENT-LEVEL META-ANALYSIS;BOLLA, MICHEL;" CHU GRENOBLE, DEPT RADIAT ONCOL, GRENOBLE, FRANCE.; ";
 ;RESPIRATORY MEDICINE;RESTRICTIVE SPIROMETRY PATTERN IS ASSOCIATED WITH LOW PHYSICAL ACTIVITY LEVELS. A POPULATION BASED INTERNATIONAL STUDY;PIN, ISABELLE;" CHU GRENOBLE ALPES, DEPT PEDIATRIE, INSERM,IAB,U1209, TEAM ENVIRONM EPIDEMIOL APPL REPROD & RESP HLTH, GRENOBLE, FRANCE.; ";
 ;ARCHIVES OF TOXICOLOGY;A REALISTIC HUMAN SKIN MODEL TO STUDY BENZO[A]PYRENE CUTANEOUS ABSORPTION IN ORDER TO DETERMINE THE MOST RELEVANT BIOMARKER FOR CARCINOGENIC EXPOSURE;"BARBEAU, DAMIEN; PERSOONS, RENAUD; MAITRE, ANNE";" CHU GRENOBLE ALPES, UNITE MED TOXICOL PROFESS & ENVIRONM, SERV BIOCHIM BIOL MOL TOXICOL ENVIRONM, F-38000 GRENOBLE, FRANCE.; ";
 ;ARCHIVES OF TOXICOLOGY;A REALISTIC HUMAN SKIN MODEL TO STUDY BENZO[A]PYRENE CUTANEOUS ABSORPTION IN ORDER TO DETERMINE THE MOST RELEVANT BIOMARKER FOR CARCINOGENIC EXPOSURE;LECCIA, MARIE-THERESE;" CHU GRENOBLE ALPES, CLIN DERMATOL ALLERGOL & PHOTOBIOL, F-38000 GRENOBLE, FRANCE.;";
 ;ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY;MORTALITY, COMPLICATION, AND FUSION RATES OF PATIENTS WITH ODONTOID FRACTURE: THE IMPACT OF AGE AND COMORBIDITIES IN 204 CASES;NICOT, BENJAMIN;" CHU GRENOBLE, DEPT NEUROCHIRURG, AVE MAQUIS DU GRESIVAUDAN, F-38700 LA TRONCHE, FRANCE.; ";
 ;BULLETIN DU CANCER;TRANSFUSION IN AUTOLOGOUS AND ALLOGENIC HEMATOPOIETIC STEM CELL TRANSPLANT: GUIDELINES FROM THE FRANCOPHONE SOCIETY OF BONE MARROW TRANSPLANTATION AND CELLULAR THERAPY (SFGM-TC);GARBAN, FREDERIC;" CHU GRENOBLE ALPES, CLIN HEMATOL, AVE MAQUIS GRESIVAUDAN, F-38700 LA TRONCHE, FRANCE.; ";
 ;PRESSE MEDICALE;BIOLOGICAL DIAGNOSIS OF BRADYKINETIC ANGIOEDEMA: THE REFERENCE OF ANGIOEDEMAS (CREAK);"DEFENDI, FREDERICA; CESBRON, JEAN YVES; DUMESTRE-PERARD, CHANTAL";" CHUGA, SERV IMMUNOL, F-38043 GRENOBLE, FRANCE.; ";
 ;PRESSE MEDICALE;BIOLOGICAL DIAGNOSIS OF BRADYKINETIC ANGIOEDEMA: THE REFERENCE OF ANGIOEDEMAS (CREAK);"HARDY, GAELLE; FAURE, JULIEN";" CHUGA, LAB BIOCHIM GENET & MOL, F-38043 GRENOBLE, FRANCE.; ";
 ;NEUROMUSCULAR DISORDERS;A NOVEL NONSENSE PIEZO2 MUTATION IN A FAMILY WITH SCOLIOSIS AND PROPRIOCEPTIVE DEFECT;FAURE, JULIEN;" CHU GRENOBLE, BIOCHIM & GENET MOL, F-38000 GRENOBLE, FRANCE.; ";
 ;HEART SURGERY FORUM;PREOPERATIVE STATIN TREATMENT IS NOT ASSOCIATED WITH REDUCED POSTOPERATIVE MORTALITY OR MORBIDITY IN PATIENTS UNDERGOING ISOLATED VALVE SURGERY;"DURAND, MICHEL; MACHURON, CAROLINE; GUILLET, LAURA; MOURY, PIERRE-HENRI; PAYEN, JEAN-FRANCOIS; ALBALADEJO, PIERRE";" CHU GRENOBLE ALPES, HOP MICHALLON, POLE ANESTHESIE REANIMAT, CS 21217, F-38043 GRENOBLE 9, FRANCE.; ";
 ;HEART SURGERY FORUM;PREOPERATIVE STATIN TREATMENT IS NOT ASSOCIATED WITH REDUCED POSTOPERATIVE MORTALITY OR MORBIDITY IN PATIENTS UNDERGOING ISOLATED VALVE SURGERY;"MARTIN, CECILE; CHAVANON, OLIVIER";" CHU GRENOBLE ALPES, HOP MICHALLON, POLE CARDIOVASC & THORAC, CS 21217, GRENOBLE 9, FRANCE.;";
 ;BRAIN;WAIT AND YOU SHALL SEE: SEXUAL DELAY DISCOUNTING IN HYPERSEXUAL PARKINSONS DISEASE;KRACK, PAUL;" CHU GRENOBLE, DEPT NEUROL, MOVEMENT DISORDERS UNIT, GRENOBLE, FRANCE.;";
 ;THERAPEUTICS AND CLINICAL RISK MANAGEMENT;INTERPROFESSIONAL SAFETY REPORTING AND REVIEW OF ADVERSE EVENTS AND MEDICATION ERRORS IN CRITICAL CARE;"CHAPUIS, CLAIRE; CHANOINE, SEBASTIEN; BEDOUCH, PIERRICK";" CHU GRENOBLE ALPES, POLE PHARM, F-38000 GRENOBLE, FRANCE.; ";
 ;THERAPEUTICS AND CLINICAL RISK MANAGEMENT;INTERPROFESSIONAL SAFETY REPORTING AND REVIEW OF ADVERSE EVENTS AND MEDICATION ERRORS IN CRITICAL CARE;"COLOMBET, LAURENCE; CALVINO-GUNTHER, SILVIA; TOURNEGROS, CAROLINE; TERZI, NICOLAS; SCHWEBEL, CAROLE";" CHU GRENOBLE ALPES, REANIMAT MED POLE URGENCES MED AIGUE, F-38000 GRENOBLE, FRANCE.; ";
 ;ANNALES DE BIOLOGIE CLINIQUE;FACTOR IX ASSAYS IN TREATED HEMOPHILIA B PATIENTS;"BULABOIS, BENEDICTE; MARLU, RAPHAEL";" CHU GRENOBLE, GRENOBLE, FRANCE.; ";
 ;ANNALES DE BIOLOGIE CLINIQUE;FACTOR VIII ASSAYS IN TREATED HEMOPHILIA A PATIENTS;"BULABOIS, BENEDICTE; MARLU, RAPHAEL";" CHU GRENOBLE, GRENOBLE, FRANCE.; ";
 ;EUROPEAN JOURNAL OF DERMATOLOGY;THE BURDEN OF CHRONIC URTICARIA: FRENCH BASELINE DATA FROM THE INTERNATIONAL REAL-LIFE AWARE STUDY;PRALONG, PAULINE;" CHU GRENOBLE, DERMATOL & ALLERGOL DEPT, LA TRONCHE, FRANCE.; ";
 ;PHOTONIC HEAT ENGINES: SCIENCE AND APPLICATIONS;LASER COOLING OF SOLIDS: TOWARDS BIOMEDICAL APPLICATIONS;CHABARDES, STEPHAN;" CHU GRENOBLE ALPES, SERV NEUROCHIRURG, F-38000 GRENOBLE, FRANCE.;";
 ;FETAL DIAGNOSIS AND THERAPY;THE PUBIC DIASTASIS MEASUREMENT, A KEY ELEMENT FOR THE DIAGNOSIS, MANAGEMENT, AND PROGNOSIS OF THE BLADDER EXSTROPHY;ALTHUSER, MARC;" CHU GRENOBLE, CTR DIAGNOST PRENATAL, GRENOBLE, FRANCE.;";
 ;EPIDEMIOLOGY AND INFECTION;HEPATITIS C SUBTYPE DISTRIBUTION IN CHRONICALLY INFECTED PATIENTS WITH MILD LIVER FIBROSIS IN FRANCE: THE GEMHEP STUDY;"SEMENOVA, T.;; NEMOZ, B.;; MORAND, P.;; LARRAT, S.;";" CHU GRENOBLE ALPES, INST BIOL & PATHOL, LAB VIROL, GRENOBLE, FRANCE.; ";
 ;EPIDEMIOLOGY AND INFECTION;HEPATITIS C SUBTYPE DISTRIBUTION IN CHRONICALLY INFECTED PATIENTS WITH MILD LIVER FIBROSIS IN FRANCE: THE GEMHEP STUDY;LEROY, V;" CHU GRENOBLE ALPES, POLE DIGIDUNE, CLIN HEPATOGASTROENTEROL, GRENOBLE, FRANCE.;";
 ;DERMATOLOGY;STAPHYLOCOCCUS EPIDERMIDIS: A POTENTIAL NEW PLAYER IN THE PHYSIOPATHOLOGY OF ACNE?;LECCIA, MARIE-THERESE;" CHU A MICHALLON, DEPT DERMATOL ALLERGOL & PHOTOBIOL, GRENOBLE, FRANCE.; ";
 ;STEREOTACTIC AND FUNCTIONAL NEUROSURGERY;ANTERIOR THALAMIC STIMULATION INDUCED RELAPSING ENCEPHALITIS;STAHL, JEAN-PAUL;" CHU GRENOBLE, SERV MALAD INFECT & TROPICALES, GRENOBLE, FRANCE.; ";
 ;STEREOTACTIC AND FUNCTIONAL NEUROSURGERY;ANTERIOR THALAMIC STIMULATION INDUCED RELAPSING ENCEPHALITIS;CHABARDES, STEPHAN;" CHU GRENOBLE, INSERM, SERV NEUROCHIRURG, U836, GRENOBLE, FRANCE.; ";
 ;MEDICAL IMAGING 2019: PHYSICS OF MEDICAL IMAGING;3D HISTOPATHOLOGY SPECKLE PHASE CONTRAST IMAGING: FROM SYNCHROTRON TO CONVENTIONAL SOURCES;STEPHANOV, OLIVIER;" CHU GRENOBLE ALPES, LA TRONCHE, FRANCE.; ";
 ;PATIENT PREFERENCE AND ADHERENCE;ADHERENCE TO LONG-TERM THERAPIES IN CYSTIC FIBROSIS: A FRENCH CROSS-SECTIONAL STUDY LINKING PRESCRIBING, DISPENSING, AND HOSPITALIZATION DATA;CAMARA, BOUBOU;" CHU GRENOBLE, PULM DEPT, ADULT CF CTR, GRENOBLE, FRANCE.; ";
 ;PATIENT PREFERENCE AND ADHERENCE;ADHERENCE TO LONG-TERM THERAPIES IN CYSTIC FIBROSIS: A FRENCH CROSS-SECTIONAL STUDY LINKING PRESCRIBING, DISPENSING, AND HOSPITALIZATION DATA;LLERENA, CATHERINE;" CHU GRENOBLE, PEDIAT PULMONOL DEPT, PEDIAT CF CTR, GRENOBLE, FRANCE.; ";
 ;12TH INTERNATIONAL CONFERENCE ON POLARISED NEUTRONS FOR CONDENSED MATTER INVESTIGATIONS (PNCMI 2018);TOTAL INTERFERENCE BETWEEN NUCLEAR AND MAGNETOVIBRATIONAL ONE-PHONON SCATTERING CROSS SECTIONS;"BINISKOS, N.;; SCHMALZL, K.;";" FORSCHUNGSZENTRUM JULICH, JCNS ILL, F-38000 GRENOBLE, FRANCE.; ";
 ;FRONTIERS IN NEUROSCIENCE;EEG PHASE SYNCHRONIZATION IN PERSONS WITH DEPRESSION SUBJECTED TO TRANSCRANIAL MAGNETIC STIMULATION;SZEKELY, DAVID;" CHU GRENOBLE ALPES, SERV PSYCHIAT, GRENOBLE, FRANCE.; ";
 ;ANNALS OF INTENSIVE CARE;EXPERTS' GUIDELINES OF INTUBATION AND EXTUBATION OF THE ICU PATIENT OF FRENCH SOCIETY OF ANAESTHESIA AND INTENSIVE CARE MEDICINE (SFAR) AND FRENCH-SPEAKING INTENSIVE CARE SOCIETY (SRLF): IN COLLABORATION WITH THE PEDIATRIC ASSOCIATION OF FRENCH-SPEAKING ANAESTHETISTS AND INTENSIVISTS (ADARPEF), FRENCH-SPEAKING GROUP OF INTENSIVE CARE AND PAEDIATRIC EMERGENCIES (GFRUP) AND INTENSIVE CARE PHYSIOTHERAPY SOCIETY (SKR);TERZI, NICOLAS;" CHU GRENOBLE ALPES, SERV REANIMAT MED, F-38000 GRENOBLE, FRANCE.; ";
 ;BMC PSYCHIATRY;CLINICAL GUIDELINES FOR THE MANAGEMENT OF DEPRESSION WITH SPECIFIC COMORBID PSYCHIATRIC CONDITIONS FRENCH RECOMMENDATIONS FROM EXPERTS (THE FRENCH ASSOCIATION FOR BIOLOGICAL PSYCHIATRY AND NEUROPSYCHOPHARMACOLOGY AND THE FONDATION FONDAMENTAL);"BOUGEROL, T.;; HOLTZMANN, J.;";" CHU GRENOBLE, HOP NORD, CTR EXPERT DEPRESS RESISTANTE FONDAMENTAL, SERV PSYCHIAT ADULTE,CS 10217, GRENOBLE, FRANCE.; ";
 ;ANAESTHESIA CRITICAL CARE & PAIN MEDICINE;A MULTICENTRE OBSERVATIONAL STUDY ON MANAGEMENT OF GENERAL ANAESTHESIA IN ELDERLY PATIENTS AT HIGH-RISK OF POSTOPERATIVE ADVERSE OUTCOMES;"BOUZAT, P.;";" CHU GRENOBLE, GRENOBLE, FRANCE.; ";
